"mls";"prop_type";"status";"address";"area";"sub_area";"type_of_dwelling";"sold_price";"year_built";"days_to_sold";"tot_bedrooms";"sold_date";"postal_code"
"V1091683";"Residential Attached";"Sold";"1662 MCLEAN DRIVE";"Vancouver East";"Grandview VE";"Townhouse";"854000.00";"2015";"1";"3";"2014-10-26";"V0V 0V0"
"V1091691";"Residential Detached";"Sold";"992 CHERYL-ANN PARK ROAD";"Sunshine Coast";"Roberts Creek";"House/Single Family";"362000.00";"1969";"0";"3";"2014-10-21";"V0N 2W4"
"F1422842";"Residential Attached";"Sold";"106 13880 74TH AVENUE";"Surrey";"East Newton";"Townhouse";"251000.00";"1979";"40";"3";"2014-10-25";"V3W 7E6"
"V1090795";"Residential Detached";"Sold";"3338 NAPIER STREET";"Vancouver East";"Renfrew VE";"House/Single Family";"739000.00";"1953";"7";"3";"2014-10-27";"V5K 2X3"
"F1324244";"Residential Detached";"Sold";"191 14600 MORRIS VALLEY ROAD";"Mission";"Lake Errock";"House/Single Family";"133000.00";"2005";"370";"1";"2014-10-20";"V0M 1A1"
"F1324907";"Land Only";"Sold";"17660 8TH AVENUE";"South Surrey White Rock";"Hazelmere";"";"920000.00";"0";"359";"0";"2014-10-22";"N0N 0N0"
"F1326563";"Residential Attached";"Sold";"303 8084 120A STREET";"Surrey";"Queen Mary Park Surrey";"Apartment/Condo";"176500.00";"2008";"332";"1";"2014-10-26";"V3W 1V2"
"F1326906";"Land Only";"Sold";"31747 OYAMA STREET";"Mission";"Mission BC";"";"205000.00";"0";"319";"0";"2014-10-24";"V4S 1E4"
"F1400487";"Residential Attached";"Sold";"104 7265 HAIG STREET";"Mission";"Mission BC";"Apartment/Condo";"120000.00";"1991";"293";"2";"2014-10-26";"V2V 6N3"
"F1400662";"Residential Detached";"Sold";"3085 184TH STREET";"South Surrey White Rock";"Hazelmere";"House with Acreage";"1200000.00";"1970";"290";"3";"2014-10-20";"V3S 9V2"
"V1090835";"Residential Attached";"Sold";"2107 5470 ORMIDALE STREET";"Vancouver East";"Collingwood VE";"Apartment/Condo";"284900.00";"2016";"0";"1";"2014-10-20";"V5R 2P9"
"F1425159";"Residential Detached";"Sold";"1580 BREARLEY STREET";"South Surrey White Rock";"White Rock";"House/Single Family";"772550.00";"1966";"4";"3";"2014-10-19";"V4B 3M5"
"F1425174";"Residential Attached";"Sold";"204 9190 CHURCH STREET";"Langley";"Fort Langley";"Apartment/Condo";"549900.00";"2014";"7";"2";"2014-10-22";"N0N 0N0"
"V1090926";"Residential Attached";"Sold";"201 235 E 19TH AVENUE";"Vancouver East";"Main";"Townhouse";"575000.00";"1994";"0";"2";"2014-10-21";"V5V 1J3"
"V1090995";"Residential Attached";"Sold";"713 5860 DOVER CRESCENT";"Richmond";"Riverdale RI";"Apartment/Condo";"415300.00";"1997";"8";"2";"2014-10-25";"V7C 5R7"
"H1402947";"Residential Detached";"Sold";"3968 BOUNDARY ROAD";"Yarrow";"Yarrow";"House with Acreage";"1420550.00";"2010";"104";"3";"2014-10-20";"V2R 5J4"
"H1402992";"Residential Detached";"Sold";"45642 KIPP AVENUE";"Chilliwack";"Chilliwack W Young-Well";"House/Single Family";"358000.00";"9999";"99";"3";"2014-10-22";"V2P 1Y8"
"H1402995";"Residential Attached";"Sold";"3 46225 RANCHERO DRIVE";"Sardis";"Sardis East Vedder Rd";"Townhouse";"233000.00";"2007";"100";"3";"2014-10-22";"V2R 1A1"
"H1402998";"Residential Detached";"Sold";"9385 CORBOULD STREET";"Chilliwack";"Chilliwack W Young-Well";"House/Single Family";"245000.00";"1956";"103";"3";"2014-10-26";"V2P 4A2"
"H1403099";"Residential Detached";"Sold";"1990 GREEN ROAD";"Agassiz";"Agassiz";"House/Single Family";"275000.00";"9999";"92";"3";"2014-10-21";"V0M 1A1"
"F1402706";"Residential Detached";"Sold";"6684 RYALL PLACE";"N. Delta";"Sunshine Hills Woods";"House/Single Family";"885000.00";"1973";"261";"4";"2014-10-19";"V4E 1M5"
"F1402969";"Residential Detached";"Sold";"202 20071 24 AVENUE";"Langley";"Brookswood Langley";"Manufactured";"63500.00";"1987";"258";"2";"2014-10-21";"V2Z 2A1"
"F1403074";"Residential Attached";"Sold";"307 33318 BOURQUIN CRESCENT";"Abbotsford";"Central Abbotsford";"Apartment/Condo";"185000.00";"2007";"256";"2";"2014-10-21";"V2S 0A6"
"F1403893";"Residential Detached";"Sold";"11411 139A STREET";"North Surrey";"Bolivar Heights";"House/Single Family";"410000.00";"1961";"254";"3";"2014-10-22";"V3R 3E9"
